timestep,policy_loss,value_loss,entropy_loss,clip_fraction,approx_kl,learning_rate
1024,-0.0013413139968179166,4.511599987745285,-0.6922111287713051,0.0,0.0010114709730260074,9.998293224099677e-05
2048,0.0003006324404850602,4.051732361316681,-0.6890295669436455,0.0,0.00018862597062252462,9.996586448199353e-05
3072,-8.61496664583683e-05,2.9009957909584045,-0.6878351420164108,0.0,4.228000761941075e-06,9.994879672299027e-05
4096,-0.00012898503337055445,1928415.3666992188,-0.6831899434328079,0.0,5.753550794906914e-05,9.993172896398704e-05
5120,-0.0004923786036670208,2.1626821607351303,-0.6849946156144142,0.0,4.284590249881148e-05,9.99146612049838e-05
6144,-0.001793130300939083,1.8082345873117447,-0.678160585463047,0.0,0.0004923226370010525,9.989759344598056e-05
7168,-0.0016680446569807827,1.2078728452324867,-0.6620328947901726,0.0,0.0010342346504330635,9.98805256869773e-05
8192,-0.002424349426291883,0.8263373672962189,-0.6418319940567017,0.0,0.0007785570924170315,9.986345792797405e-05
9216,-0.0007241670973598957,0.531814131885767,-0.6164673194289207,0.0,0.0006512189283967018,9.984639016897081e-05
10240,-0.003110741265118122,0.5269421525299549,-0.6038409918546677,0.0,0.00043109702528454363,9.982932240996758e-05
11264,-0.006284644536208361,0.39976874738931656,-0.5605408623814583,0.00390625,0.0016896271845325828,9.981225465096434e-05
12288,-0.0049855433171615005,0.3900159075856209,-0.5093984641134739,0.005859375,0.0013280206185299903,9.979518689196108e-05
13312,-0.002974637900479138,0.33177072927355766,-0.4544091038405895,0.0,0.000719899864634499,9.977811913295784e-05
14336,-0.0028646885184571147,0.23334667459130287,-0.4105469807982445,0.0009765625,0.000630382273811847,9.97610513739546e-05
15360,-0.0024367369478568435,0.3363629989326,-0.3675098903477192,0.0009765625,0.0004837097367271781,9.974398361495137e-05
16384,-0.0037538514006882906,0.2470505926758051,-0.34058087319135666,0.001953125,0.0005877860239706933,9.972691585594813e-05
17408,-0.002917436300776899,0.21861921809613705,-0.28446247801184654,0.0048828125,0.0008268067322205752,9.970984809694488e-05
18432,-0.0014263428747653961,0.37040089443325996,-0.26025592163205147,0.0009765625,0.00022686456213705242,9.969278033794164e-05
19456,-2.0536710508167744e-05,0.41577497124671936,-0.2358693890273571,0.0,4.390813410282135e-05,9.967571257893838e-05
20480,-0.0008376531768590212,0.32385049387812614,-0.23115297593176365,0.0,8.655191049911082e-05,9.965864481993515e-05
21504,-0.0007087794365361333,0.23600909113883972,-0.20682601258158684,0.0,8.261395851150155e-05,9.96415770609319e-05
22528,-0.00045781489461660385,0.29345385916531086,-0.2171338051557541,0.0,3.507148358039558e-05,9.962450930192865e-05
23552,-0.0005472249467857182,0.31943158619105816,-0.2175612598657608,0.0,1.0758754797279835e-05,9.960744154292542e-05
24576,-0.000883790897205472,0.35846366733312607,-0.2303704358637333,0.0,4.947380512021482e-05,9.959037378392218e-05
25600,-0.00020170840434730053,0.3105611093342304,-0.20834206975996494,0.0,1.595084904693067e-05,9.957330602491894e-05
26624,-0.0014619085704907775,0.3249917533248663,-0.20073560066521168,0.0,4.9746246077120304e-05,9.955623826591569e-05
27648,-0.001527920481748879,0.30849340930581093,-0.19873744808137417,0.0009765625,0.00012096459977328777,9.953917050691245e-05
28672,-0.000946808373555541,0.26985690370202065,-0.20329125598073006,0.0009765625,0.0001804768107831478,9.952210274790921e-05
29696,-0.0005270478141028434,0.2612089179456234,-0.18480869010090828,0.0,3.4793687518686056e-05,9.950503498890597e-05
30720,-0.0014913698541931808,0.32316386327147484,-0.1805055644363165,0.001953125,0.00019422994228079915,9.948796722990273e-05
31744,-0.00023612729273736477,0.3588203750550747,-0.1895071528851986,0.0,0.00014446923159994185,9.947089947089946e-05
32768,-0.0018348792218603194,0.36844510957598686,-0.19372223690152168,0.0,9.164185030385852e-05,9.945383171189622e-05
33792,-0.0007763063767924905,0.3731561228632927,-0.20735943131148815,0.0009765625,0.00021803582785651088,9.943676395289299e-05
34816,-0.00024054443929344416,0.4446643479168415,-0.17601440846920013,0.0009765625,7.514562457799911e-05,9.941969619388975e-05
35840,0.0003971900441683829,0.24012501910328865,-0.21280315518379211,0.0029296875,0.00021934113465249538,9.940262843488651e-05
36864,-0.0012136901495978236,0.3101381678134203,-0.18454797379672527,0.0009765625,6.962456973269582e-05,9.938556067588326e-05
37888,-0.00016675412189215422,0.2792479805648327,-0.18950479850172997,0.0,1.892360160127282e-05,9.936849291688002e-05
38912,0.0004632821073755622,0.3464329056441784,-0.20152929984033108,0.0,7.824745262041688e-05,9.935142515787678e-05
39936,-0.00027863343711942434,0.3902227468788624,-0.21581701934337616,0.0,1.9159779185429215e-05,9.933435739887354e-05
40960,-0.0005803554959129542,0.40277352184057236,-0.20311160385608673,0.0,3.466446651145816e-05,9.931728963987029e-05
41984,-0.00011119083501398563,0.3377629183232784,-0.25361212342977524,0.0,0.00015304033877328038,9.930022188086705e-05
43008,-7.017052848823369e-05,0.3342166915535927,-0.1901144776493311,0.0,7.663614815101027e-05,9.928315412186381e-05
44032,-0.0006964619969949126,0.4347008652985096,-0.18445689417421818,0.0,5.228671943768859e-05,9.926608636286057e-05
