timestep,episode,reward,length
1,0,-6.899999999999999,50
1,1,-7.499999999999998,50
1,2,-6.899999999999999,50
1,3,-8.7,50
1,4,-8.7,50
1,5,-7.499999999999998,50
1,6,-6.299999999999999,50
1,7,-0.8999999999999986,50
1,8,-8.7,50
1,9,-5.699999999999998,50
1,10,-7.499999999999998,50
1,11,-8.099999999999998,50
1,12,-6.899999999999999,50
1,13,-8.099999999999998,50
1,14,-6.299999999999999,50
1,15,-7.499999999999998,50
1,16,-8.7,50
1,17,-8.099999999999998,50
1,18,-8.099999999999998,50
1,19,-6.899999999999999,50
2,20,-8.099999999999998,50
2,21,-7.499999999999998,50
2,22,-7.499999999999998,50
2,23,-5.699999999999998,50
2,24,-6.299999999999999,50
2,25,-3.299999999999998,50
2,26,-6.899999999999999,50
2,27,-8.099999999999998,50
2,28,-7.499999999999998,50
2,29,-8.099999999999998,50
2,30,-6.299999999999999,50
2,31,-5.099999999999998,50
2,32,-6.299999999999999,50
2,33,-7.499999999999998,50
2,34,-5.699999999999998,50
2,35,-8.099999999999998,50
2,36,-7.499999999999998,50
2,37,-6.899999999999999,50
2,38,-6.299999999999999,50
2,39,-5.699999999999998,50
3,40,-6.299999999999999,50
3,41,-5.699999999999998,50
3,42,-7.499999999999998,50
3,43,-5.699999999999998,50
3,44,-5.099999999999998,50
3,45,-6.299999999999999,50
3,46,-5.699999999999998,50
3,47,-6.899999999999999,50
3,48,-6.899999999999999,50
3,49,-4.499999999999998,50
3,50,-8.099999999999998,50
3,51,-6.899999999999999,50
3,52,-5.699999999999998,50
3,53,-5.099999999999998,50
3,54,-6.899999999999999,50
3,55,-6.299999999999999,50
3,56,-6.899999999999999,50
3,57,-7.499999999999998,50
3,58,-4.499999999999998,50
3,59,-6.899999999999999,50
3,60,-5.099999999999998,50
4,61,-7.499999999999998,50
4,62,-5.699999999999998,50
4,63,-7.499999999999998,50
4,64,-3.299999999999998,50
4,65,-8.099999999999998,50
4,66,-5.099999999999998,50
4,67,-7.499999999999998,50
4,68,-5.099999999999998,50
4,69,-8.099999999999998,50
4,70,-0.8999999999999986,50
4,71,-0.8999999999999986,50
4,72,-4.499999999999998,50
4,73,-7.499999999999998,50
