timestep,policy_loss,value_loss,entropy_loss,clip_fraction,approx_kl,learning_rate
1024,0.0009381804266013205,4.471480086445808,-0.6923473030328751,0.0,0.0009170231642201543,7.991803278688526e-05
2048,-0.005497373815160245,4.508710443973541,-0.6885433085262775,0.0048828125,0.0005239094607532024,7.983606557377051e-05
3072,-0.003456083300989121,3.13394296169281,-0.670863714069128,0.0087890625,0.0018581225886009634,7.975409836065574e-05
4096,0.001498841738793999,2.919157639145851,-0.6510443799197674,0.005859375,0.0010403470951132476,7.9672131147541e-05
5120,-0.00024012877838686109,2.132881261408329,-0.6537729725241661,0.0,0.00043104859651066363,7.959016393442623e-05
6144,-0.00040580396307632327,1.3282478041946888,-0.6704868152737617,0.001953125,0.0004491061554290354,7.950819672131148e-05
7168,-0.0004261844733264297,0.7195764761418104,-0.6783668249845505,0.0009765625,0.0002535073144827038,7.942622950819673e-05
8192,0.00018717627972364426,0.521894346922636,-0.6859866827726364,0.0,0.00015300780069082975,7.934426229508197e-05
9216,-0.0005994420498609543,0.3161292942240834,-0.6880607455968857,0.0,0.0014503249840345234,7.926229508196722e-05
10240,-0.002575694670667872,0.38260408490896225,-0.6849441900849342,0.0,0.0014211069501470774,7.918032786885247e-05
11264,-0.0054017145303078,0.20869170781224966,-0.6718879714608192,0.0,0.0014256538124755025,7.909836065573772e-05
12288,-0.004463981982553378,0.24571494571864605,-0.6431901976466179,0.0,0.0018911224324256182,7.901639344262295e-05
13312,-0.004897002363577485,0.40641528367996216,-0.6051817387342453,0.02734375,0.002584549685707316,7.89344262295082e-05
14336,-0.005309504456818104,0.4564554877579212,-0.5459946282207966,0.0419921875,0.0037542503559961915,7.885245901639344e-05
15360,-0.0021621431806124747,0.8375972583889961,-0.49011820182204247,0.0244140625,0.0016570311563555151,7.877049180327869e-05
16384,-0.0021286552073433995,0.561411464586854,-0.4571840837597847,0.0009765625,0.0006603293004445732,7.868852459016394e-05
17408,-0.0027932623052038252,0.756879324093461,-0.4162455387413502,0.0185546875,0.0015880861028563231,7.860655737704919e-05
