timestep,policy_loss,value_loss,entropy_loss,clip_fraction,approx_kl,learning_rate
1024,-0.004952955161570571,3.8388665840029716,-0.6862300224602222,0.07373046875,0.006730604261974804,9.989754098360657e-05
2048,-0.0031678892992204055,3.5873432606458664,-0.6672997772693634,0.017333984375,0.002697916701436043,9.979508196721312e-05
3072,-0.0032832435244927183,1.646653901785612,-0.6208308786153793,0.021484375,0.0031797282135812566,9.969262295081968e-05
4096,-0.0023393467417918146,1578228.0170577914,-0.5865412689745426,0.001953125,0.001195853496028576,9.959016393442624e-05
5120,-0.006646386987995356,0.6352903489023447,-0.5477836057543755,0.0546875,0.006228903628652915,9.948770491803279e-05
6144,-0.009039092721650377,0.35446878243237734,-0.46039323415607214,0.056396484375,0.00736489307746524,9.938524590163934e-05
7168,-0.003377870816620998,0.5070823226124048,-0.40927477832883596,0.008544921875,0.0008739687109482475,9.92827868852459e-05
8192,-0.005540775440749712,0.16006383718922734,-0.41093783639371395,0.025390625,0.0023114082505344413,9.918032786885247e-05
9216,-0.006549409605213441,0.13600627379491925,-0.3483233619481325,0.038330078125,0.004060146842675749,9.907786885245903e-05
10240,-0.004310782067477703,0.16412149043753743,-0.3499495554715395,0.01708984375,0.0013804875343339518,9.897540983606558e-05
11264,-0.009206843678839505,0.09989078412763774,-0.33113513235002756,0.052734375,0.004540695153991692,9.887295081967214e-05
12288,-0.006059408391593024,0.15275323996320367,-0.3319847248494625,0.016845703125,0.0013962520533823408,9.87704918032787e-05
13312,-0.009090672261663713,0.1780510963872075,-0.3361182129010558,0.0234375,0.0019884304783772677,9.866803278688525e-05
14336,-0.008375666482606903,0.2916284594684839,-0.27347420854493976,0.029052734375,0.0023796572131686844,9.85655737704918e-05
15360,-0.009037147334311157,0.2654670584015548,-0.30684432201087475,0.025634765625,0.0018255273680551909,9.846311475409836e-05
16384,-0.007134511026379187,0.17070794198662043,-0.2255198978818953,0.02978515625,0.002393680450040847,9.836065573770493e-05
17408,-0.007308015687158331,0.18604833213612437,-0.2452061315998435,0.02880859375,0.003144221074762754,9.825819672131148e-05
18432,-0.006827852761489339,0.14902309817261994,-0.2649807929992676,0.02294921875,0.0020716113212984055,9.815573770491804e-05
19456,-0.009063703968422487,0.22701306594535708,-0.2801565285772085,0.065185546875,0.006469179083069321,9.80532786885246e-05
20480,-0.006858566353912465,0.09515879198443145,-0.23603706993162632,0.021240234375,0.0019204954151064157,9.795081967213115e-05
21504,-0.007753351266728714,0.10779281205032021,-0.2476840103045106,0.0234375,0.0020755452205776237,9.784836065573771e-05
22528,-0.008886414434527978,0.08835719467606395,-0.28406629292294383,0.03759765625,0.0029561091942014173,9.774590163934426e-05
23552,-0.011470128272776492,0.050013246946036816,-0.23350404482334852,0.036865234375,0.002717834518989548,9.764344262295082e-05
24576,-0.009696287888800725,0.05112348380498588,-0.24226110940799117,0.057373046875,0.004483020900806878,9.754098360655737e-05
25600,-0.013186030642827973,0.04993428278248757,-0.23248173855245113,0.09228515625,0.010171662746870425,9.743852459016394e-05
26624,-0.007873814494814724,0.02782762743299827,-0.2210186505690217,0.032470703125,0.0028974194792681374,9.73360655737705e-05
27648,-0.009540896477119531,0.0626370781683363,-0.20356279844418168,0.028564453125,0.0026926414866466075,9.723360655737706e-05
28672,-0.008344996749656275,0.02794425786123611,-0.24609985342249274,0.022216796875,0.0016894097352633253,9.713114754098361e-05
29696,-0.014115742829744704,0.08637569757411256,-0.19745702436193824,0.0556640625,0.01052750209782971,9.702868852459017e-05
30720,-0.005301730765495449,0.13322199042886496,-0.17900921287946403,0.029052734375,0.002732231187110301,9.692622950819674e-05
31744,-0.004082046027178876,0.2557098837569356,-0.1659345463849604,0.020751953125,0.0017408925341442227,9.682377049180328e-05
32768,-0.004807592413271777,0.279369646217674,-0.1618339754641056,0.015625,0.0014492380869342014,9.672131147540983e-05
33792,-0.007348592960624956,0.23813140112906694,-0.17716811364516616,0.029052734375,0.002524507675843779,9.66188524590164e-05
34816,-0.0037991973367752507,0.22855955502018332,-0.12280560843646526,0.015380859375,0.002173286113247741,9.651639344262296e-05
35840,-0.0054930420010350645,0.20295358821749687,-0.13982967985793948,0.020751953125,0.0031539042538497597,9.641393442622951e-05
36864,-0.0039465952140744776,0.2699274583719671,-0.11660924390889704,0.020263671875,0.0017444448749301955,9.631147540983607e-05
37888,-0.006286935793468729,0.40112529788166285,-0.14197073760442436,0.02001953125,0.0017360482379444875,9.620901639344263e-05
38912,-0.003127713978756219,0.32239851728081703,-0.12495867046527565,0.009521484375,0.0008193719695555046,9.610655737704918e-05
39936,-0.0032287605718011037,0.388509139418602,-0.12240813625976443,0.00439453125,0.0005342906733858399,9.600409836065573e-05
40960,-0.004099506084457971,0.2657048352994025,-0.09017712227068841,0.016845703125,0.001610892613825854,9.59016393442623e-05
41984,-0.003872753251926042,0.27277792477980256,-0.11832920229062438,0.014404296875,0.0012909570723422803,9.579918032786886e-05
43008,-0.0035728632792597637,0.37096668826416135,-0.13574902876280248,0.0205078125,0.0019777376001002267,9.56967213114754e-05
44032,-0.0028782756853615865,0.35279955714941025,-0.10581042291596532,0.017333984375,0.0016453788266517222,9.559426229508197e-05
45056,-0.004828433971852064,0.2585016367956996,-0.13207783573307097,0.01416015625,0.0018158788152504712,9.549180327868853e-05
46080,-0.004974301729816943,0.39596922509372234,-0.14143278542906046,0.017822265625,0.002120964491041377,9.53893442622951e-05
47104,-0.004836286578211002,0.43985677789896727,-0.13499003695324063,0.01220703125,0.0010641338012646884,9.528688524590164e-05
48128,-0.005976111278869212,0.6190936649218202,-0.11801025690510869,0.013427734375,0.0010105906694661826,9.51844262295082e-05
49152,-0.006903190420416649,0.44732206501066685,-0.13749791914597154,0.041748046875,0.0034670763998292387,9.508196721311476e-05
50176,-0.0035504440165823326,0.3178271776996553,-0.12783135659992695,0.012451171875,0.0011358726624166593,9.497950819672132e-05
51200,-0.00231950257148128,0.36003273632377386,-0.10416336019989103,0.012939453125,0.0013248794784885831,9.487704918032787e-05
52224,-0.0034134180314140394,0.45563787315040827,-0.11188173410482705,0.005126953125,0.0005831198359373957,9.477459016393443e-05
53248,-0.003416063991608098,0.3758412040770054,-0.12414369848556817,0.0107421875,0.000904661719687283,9.467213114754099e-05
54272,-0.0034121022326871753,0.5770821738988161,-0.10528434277512133,0.021240234375,0.0023165067250374705,9.456967213114754e-05
55296,-0.009251146693713963,0.5162954544648528,-0.11759386002086103,0.041748046875,0.005291420326102525,9.44672131147541e-05
56320,-0.0041432308935327455,0.6020825374871492,-0.09775141882710159,0.01806640625,0.0015256556871463545,9.436475409836067e-05
